Begin date,Begin time,End time,Activity,Course code,Room
2023-09-04,15:00,16:00,www.kth.se/form/libraryfair4sep,,
2023-09-06,16:00,17:00,www.kth.se/form/libraryfair6sep,,
2023-10-16,08:00,17:00,Eget arbete,,
2023-10-17,08:00,17:00,Eget arbete,,
2023-10-18,08:00,17:00,Eget arbete,,
2023-10-19,13:00,14:00,Tentadag,,
2023-10-20,13:00,14:00,Tentadag,,
2023-10-23,13:00,14:00,Tentadag,,
2023-10-24,13:00,14:00,Tentadag,,
2023-10-25,13:00,14:00,Tentadag,,
2023-10-26,13:00,14:00,Tentadag,,
2023-10-27,13:00,14:00,Tentadag,,
2023-11-04,00:00,00:00,Alla helgons dag,,
2023-11-06,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-08,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-09,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-21,10:00,16:00,THS Armada – event.armada.nu,,
2023-11-22,10:00,16:00,THS Armada – event.armada.nu,,
2023-12-04,12:00,17:00,"Storträff -undvik frl, le, ex",,
2023-12-18,13:00,14:00,Omtentadag,,
2023-12-19,13:00,14:00,Omtentadag,,
2023-12-20,13:00,14:00,Omtentadag,,
2023-12-21,13:00,14:00,Omtentadag,,
2023-12-22,08:00,17:00,Eget arbete,,
2023-12-24,00:00,00:00,Julafton,,
2023-12-25,00:00,00:00,Juldagen,,
2023-12-26,00:00,00:00,Annandag jul,,
2023-12-27,08:00,17:00,Eget arbete,,
2023-12-28,08:00,17:00,Eget arbete,,
2023-12-29,08:00,17:00,Eget arbete,,
2023-12-31,00:00,00:00,Nyårsafton,,
2024-01-01,00:00,00:00,Nyårsdagen,,
2024-01-02,08:00,17:00,Eget arbete,,
2024-01-03,08:00,17:00,Eget arbete,,
2024-01-04,08:00,17:00,Eget arbete,,
2024-01-05,08:00,17:00,Eget arbete,,
2024-01-06,00:00,00:00,Trettondedag jul,,
2024-01-08,13:00,14:00,Tentadag,,
2024-01-09,13:00,14:00,Tentadag,,
2024-01-10,13:00,14:00,Tentadag,,
2024-01-11,13:00,14:00,Tentadag,,
2024-01-12,13:00,14:00,Tentadag,,
2024-01-12,13:00,14:00,Tentadag,,
2024-01-13,08:00,09:00,Tentadag,,
2024-01-13,14:00,19:00,Tentadag,,
2024-01-15,13:00,14:00,Tentadag,,
